,R2 Score,Mean Squared Error,Mean Absolute Error,y_pred
Random Forest Regression,0.9491255835182364,17839.053990819517,30.345663012132256,[ 66.919  39.184  67.703 ... 112.79   39.58   73.824]
XGBoost Regression,0.951387003363394,17046.089795777843,32.41940583452782,[ 65.35526   29.498095  62.965576 ... 115.02169   64.01326   69.31606 ]
KNN Regression,0.9169116815574943,29134.820627054865,39.32819160862918,[ 50.56  41.2   68.2  ...  92.   104.02  59.76]
RFR_hyperparam,0.8893273134539955,38807.246689717285,63.27224849756278,"[52.20944904 43.47489671 81.75524222 ... 60.46076176 36.51733696
 74.90745694]"
MLPRegressor,0.9023404811780827,34244.19481265457,64.11634744616677,"[  49.57294995   23.05762796   95.11472321 ...   58.99931299   54.25652239
 -102.52963406]"
Linear Regression,0.7517624983565083,87044.18646161316,77.98290022889292,"[110.52306412  64.0579984  154.79100431 ... 100.70517842  92.19707415
 -49.49014417]"
Ridge Regression,0.7500922948665546,87629.84134069411,78.4831147414834,"[109.82178703  63.71663258 156.42304234 ... 100.60134296  92.21759238
 -47.86763077]"
Support Vector Regression,-0.004747415024901835,352313.4931717694,95.5517035183219,"[56.38507953 67.73808477 76.78882677 ... 76.02711311 75.59127176
 53.08713799]"
