,R2 Score,Mean Squared Error,Mean Absolute Error,y_pred
Random Forest Regression,0.9490417347811081,17868.455451359725,30.421287137323354,[ 65.882  39.544  67.343 ... 112.175  39.558  73.411]
RFR_hyperparam,0.950598763494798,17322.485173769863,30.76743685894,"[ 69.72666909  38.8070811   77.88316961 ... 100.3615184   85.36698317
  76.04652967]"
XGBoost Regression,0.9499146704225643,17562.36160074956,32.6393146121508,[ 65.54975   26.262083  82.33644  ... 121.039925  81.08526   71.078186]
KNN Regression,0.916882911152169,29144.908935667067,39.314860540173264,[ 50.56  41.2   68.2  ...  92.   104.02  59.76]
MLPRegressor,0.9073256867989772,32496.138355665986,61.76692906522966,"[ 91.84923551  53.89719929 105.49442783 ...  90.71532514  86.05791763
 -54.71944611]"
Linear Regression,0.7517624983565084,87044.18646161315,77.98290022889297,"[110.52306412  64.0579984  154.79100431 ... 100.70517842  92.19707415
 -49.49014417]"
Ridge Regression,0.7500933710859561,87629.46396563337,78.4784707357779,"[109.794936    63.69627699 156.42093854 ... 100.57750971  92.19541283
 -47.57153461]"
Support Vector Regression,-0.004685833187108468,352291.899573155,95.55269409747326,"[55.95055607 67.19575492 77.31125639 ... 75.83968093 75.42345794
 54.35396001]"
